/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,0,1,0,1,1,1,1,1,0,1,0,99.35421752929688,0.6640763878822327
1,0,1,0,1,1,1,0,0,1,0,1,293.9713134765625,1.6084060668945312
0,0,1,0,1,0,0,0,1,0,1,1,96.60369873046875,0.4850437641143799
0,1,1,0,1,1,0,1,1,0,0,0,43.063072204589844,0.6303413510322571
1,1,1,0,0,1,1,1,0,0,1,0,285.88128662109375,1.7171876430511475
1,0,0,1,1,0,1,1,1,0,1,1,282.87860107421875,1.6887582540512085
1,1,1,0,0,1,1,0,0,1,0,1,293.3276672363281,1.6822731494903564
1,1,0,1,0,0,0,0,0,0,1,1,286.11517333984375,1.6450793743133545
0,0,1,1,1,1,0,1,1,1,0,1,126.92036437988281,0.6769239902496338
1,1,1,0,0,0,0,1,1,0,1,0,285.88128662109375,1.6959340572357178
1,0,0,0,0,0,1,1,1,1,0,1,293.87139892578125,1.6653766632080078
1,0,0,0,0,1,0,1,0,1,1,0,287.0718994140625,1.648919701576233
0,0,0,1,0,0,0,1,1,0,0,1,52.8997917175293,0.4021010398864746
1,0,1,1,1,1,1,1,0,1,1,0,286.9689636230469,1.6821880340576172
1,0,1,0,1,1,0,1,1,0,1,1,282.87860107421875,1.6573150157928467
0,1,0,1,1,1,0,0,0,0,0,1,70.41680908203125,0.5079875588417053
0,1,0,0,0,0,0,1,1,0,0,0,40.88166427612305,0.6303413510322571
1,1,0,1,0,0,0,0,0,1,1,0,286.44586181640625,1.6481034755706787
1,1,0,0,1,1,1,0,1,0,0,0,288.2351989746094,1.636720895767212
0,0,1,0,0,1,0,1,0,0,0,1,52.8997917175293,0.36313575506210327
0,1,0,0,0,0,1,0,1,1,0,0,141.93392944335938,0.8460019826889038
0,0,1,0,0,1,0,0,0,0,0,1,52.8997917175293,0.2218858301639557
1,0,1,1,0,1,1,0,1,0,0,0,284.1221008300781,1.5964820384979248
1,1,1,0,1,0,0,1,1,1,0,0,293.94561767578125,1.7167848348617554
1,0,0,0,1,1,1,1,0,0,0,0,283.9037170410156,1.6192588806152344
0,1,1,0,0,1,1,0,0,0,0,0,41.37047576904297,0.6320361495018005
